epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.729,1.0511,1.90742,1.19066,0.76584,0.81741,0.85005,0.6577,0.84005,1.01453,1.03606,0.00332844,0.00332844,0.00332844
2,205.775,0.86896,0.93838,1.03979,0.8258,0.83954,0.88082,0.68059,0.83139,0.7844,1.02328,0.00659582,0.00659582,0.00659582
3,302.726,0.86182,0.83605,1.03589,0.90473,0.89643,0.9515,0.7468,0.79739,0.62258,1.01147,0.0097972,0.0097972,0.0097972
4,398.837,0.84435,0.75111,1.02827,0.88645,0.85895,0.9176,0.70735,0.85234,0.65748,1.03936,0.009703,0.009703,0.009703
5,499.897,0.80277,0.65398,1.01125,0.90919,0.90326,0.95205,0.7668,0.76189,0.53831,0.99223,0.009604,0.009604,0.009604
6,603.862,0.78284,0.61245,1.0027,0.90827,0.92795,0.96447,0.79016,0.71728,0.49043,0.97281,0.009505,0.009505,0.009505
7,706.037,0.76633,0.5778,0.99589,0.93704,0.92868,0.96896,0.78696,0.74448,0.4682,0.98715,0.009406,0.009406,0.009406
8,805.023,0.75563,0.55033,0.99126,0.92519,0.937,0.97103,0.79057,0.73896,0.45457,0.98144,0.009307,0.009307,0.009307
9,908.707,0.73996,0.53429,0.98582,0.926,0.93331,0.96564,0.8033,0.69128,0.44861,0.96038,0.009208,0.009208,0.009208
10,1009.96,0.73399,0.52128,0.98421,0.94159,0.9507,0.97445,0.81057,0.68713,0.40977,0.96035,0.009109,0.009109,0.009109
11,1107.5,0.72437,0.50858,0.98012,0.9446,0.94744,0.97621,0.81406,0.6807,0.4035,0.95928,0.00901,0.00901,0.00901
12,1204.62,0.71866,0.4903,0.97768,0.94312,0.94249,0.97639,0.81478,0.68151,0.40433,0.95883,0.008911,0.008911,0.008911
13,1302.49,0.71347,0.4818,0.97659,0.93772,0.95411,0.97341,0.81915,0.66438,0.39016,0.94984,0.008812,0.008812,0.008812
14,1402.75,0.70906,0.4795,0.97364,0.93832,0.94769,0.97636,0.81865,0.67681,0.39596,0.95745,0.008713,0.008713,0.008713
15,1503.83,0.70599,0.47523,0.97341,0.94287,0.9506,0.97878,0.82503,0.66501,0.38403,0.95233,0.008614,0.008614,0.008614
16,1604.78,0.70384,0.46859,0.97235,0.94717,0.95616,0.97691,0.82525,0.65709,0.37628,0.94996,0.008515,0.008515,0.008515
17,1706.59,0.70106,0.45658,0.9708,0.94782,0.95228,0.97813,0.82872,0.65269,0.37335,0.94509,0.008416,0.008416,0.008416
18,1805.07,0.69584,0.45081,0.97042,0.94896,0.95495,0.97978,0.83179,0.64786,0.37051,0.94854,0.008317,0.008317,0.008317
19,1903.55,0.69705,0.44751,0.97008,0.94761,0.95544,0.97922,0.82926,0.65724,0.36671,0.94834,0.008218,0.008218,0.008218
20,2004.03,0.69239,0.44138,0.96831,0.95279,0.95253,0.98115,0.83363,0.64737,0.36,0.94469,0.008119,0.008119,0.008119
21,2103.77,0.69132,0.44072,0.96764,0.95078,0.9569,0.9825,0.83499,0.64332,0.35301,0.94124,0.00802,0.00802,0.00802
22,2203.26,0.68673,0.43596,0.96602,0.95398,0.95234,0.9781,0.83328,0.63859,0.35916,0.9415,0.007921,0.007921,0.007921
23,2299.09,0.68602,0.43202,0.96647,0.9585,0.95736,0.9808,0.838,0.63939,0.34978,0.94213,0.007822,0.007822,0.007822
24,2400.85,0.68237,0.42364,0.96395,0.95343,0.95522,0.98162,0.84033,0.63495,0.34882,0.93843,0.007723,0.007723,0.007723
25,2505.18,0.67976,0.42844,0.9621,0.95198,0.96073,0.98008,0.84029,0.63055,0.34693,0.93633,0.007624,0.007624,0.007624
26,2611.17,0.67886,0.42118,0.96045,0.95492,0.95943,0.98226,0.84123,0.63222,0.34081,0.93612,0.007525,0.007525,0.007525
27,2715.07,0.67359,0.42143,0.96154,0.95397,0.95773,0.9821,0.84178,0.62873,0.342,0.93805,0.007426,0.007426,0.007426
28,2820.29,0.67262,0.41369,0.95939,0.95811,0.95702,0.98087,0.84084,0.62778,0.33992,0.93558,0.007327,0.007327,0.007327
29,2924.19,0.67078,0.40904,0.95889,0.95427,0.96039,0.98223,0.84565,0.62795,0.33485,0.93648,0.007228,0.007228,0.007228
